id,slug,name,kind,work_title,dob,birthplace,currently_at,currently_at_url,current_role,since_year,bio_url,source_url,source_ts,fc_alive,fc_name_changed,fc_current_name,fc_current_role,fc_still_in_job,fc_current_link,fc_summary,fc_confidence,fc_verified,fc_sources,fc_checked
11,crafts/metalsdirectorypage/p106.html,RANDY J. LONG,person,,1951,"Natrona Heights, Pennsylvania",Indiana University,http://www.temple.edu/crafts/metalsdirectorypage/s80.html,,1983,,http://www.temple.edu/crafts/metalsdirectorypage/p106.html,,yes,no,,"Distinguished Professor Emerita of Metalsmithing & Jewelry Design, Eskenazi School of Art, Architecture + Design, Indiana University Bloomington",retired-emeritus,https://honorsandawards.iu.edu/awards/honoree/8058.html,"Randy Long is the metalsmith/jeweler from the archived record (born 1951; BA/MA San Diego State, MFA Cal State Long Beach; joined IU in 1983). She is a woman who built IU's metals program, was named Distinguished Professor in 2017, received IU's Bicentennial Medal in 2020, and is now listed as Faculty Emerita. No obituary found; presumed alive.",high,not-needed,https://honorsandawards.iu.edu/awards/honoree/8058.html | https://eskenazi.indiana.edu/news/2017/2017-02-13-randy-long-distinguished.html | https://bulletins.iu.edu/iu/gradschool/2024-2025/programs/bloomington/art-and-design/faculty.shtml | https://eskenazi.indiana.edu/news/2020/2020-10-07-bicentennial-awardees.html | https://www.ganoksin.com/article/randy-long-works-metal/,2026-05-29
12,crafts/metalsdirectorypage/p107.html,LEON LUGASSY,person,,?,?,,,,,,http://www.temple.edu/crafts/metalsdirectorypage/p107.html,,no,no,,"Retired professor of industrial design (20 years) and jeweler/metalsmith at Philadelphia College of Art (PCA, now University of the Arts); later ran his own hardwood-flooring business from 1989.",no,https://paffett.family/remembering-leon-lugassy/,"Leon Judah Lugassy, jeweler/metalsmith and longtime industrial-design professor at Philadelphia College of Art (now University of the Arts), died December 25, 2021, aged 84. He earned his MFA in Jewelry and Metalsmithing from Tyler School of Art in 1968.",high,confirmed,https://paffett.family/remembering-leon-lugassy/ | http://www.carrfuneralhome.net/obituaries/leon-judah-lugassy,2026-05-29
13,crafts/metalsdirectorypage/p108.html,ANTHONY JAMES LUGO,person,,January 4th,"Los Angeles, California",Palomar College,http://www.temple.edu/crafts/metalsdirectorypage/s142.html,,1974,,http://www.temple.edu/crafts/metalsdirectorypage/p108.html,,unknown,no,,"Long-time jewelry/metalsmithing & 3D-design instructor (Fine Arts), Palomar College, San Marcos CA — now retired / no longer on the active faculty",retired-emeritus,https://www.ratemyprofessors.com/professor/382688,"Anthony ""Tony"" Lugo was the longtime jewelry/metalsmithing and 3D-design instructor in Palomar College's Fine Arts department (consistent with the archived 1974 start; students recall his classes back to 1986/87). He no longer appears on Palomar's current art faculty or program pages — the current metals instructor is Lisa Mandel and Palomar is advertising an adjunct opening — so he appears to have retired/gone emeritus. No name change and no matching obituary were found.",medium,not-needed,https://www.ratemyprofessors.com/professor/382688 | https://www.palomar.edu/art/explore-programs/ | https://programmap.palomar.edu/academics/interest-clusters/e5374361-6869-4373-90b5-cdcbb1a8f9ec/programs/4d5e743b-a2c9-c650-12b8-6648044d2302 | https://www.higheredjobs.com/faculty/details.cfm?JobCode=179179267 | https://www.silversmithing.com/artisan-memorial.htm,2026-05-29
14,crafts/metalsdirectorypage/p109.html,RICHARD MAFONG,person,,1942,"Tijuana, Mexico",Georgia State University since ?,http://www.temple.edu/crafts/metalsdirectorypage/s67.html,,,,http://www.temple.edu/crafts/metalsdirectorypage/p109.html,,unknown,no,,"Professor Emeritus of Jewelry Design and Metalsmithing, Georgia State University (Ernest G. Welch School of Art & Design), Atlanta, GA. Founded/headed the GSU metals program from 1968; retired from teaching in 2002 to focus on his own design work.",retired-emeritus,https://americanart.si.edu/artist/richard-mafong-18315,"Richard Mafong (b. Tijuana, Mexico, 1942) is the metalsmith/jeweler who founded and led the Georgia State University metals program in 1968 and retired in 2002; he is Professor Emeritus, not still actively teaching. He was still exhibiting as recently as 2015-2016; no obituary was found, so his current life status is unknown.",medium,not-needed,https://americanart.si.edu/artist/richard-mafong-18315 | https://high.org/collection/container-6/ | https://dlg.usg.edu/record/gsu_ajc_4591 | https://www.artfieldssc.org/galleries/art/2015/cosmos/163760/ | https://www.askart.com/artist/Richard_Mafong/11000838/Richard_Mafong.aspx,2026-05-29
15,crafts/metalsdirectorypage/p11.html,JAMIE BENNETT,person,,1948,"Barrington, Pennsylvania",State University of New York - New Paltz,http://www.temple.edu/crafts/metalsdirectorypage/s188.html,,1985,http://www.temple.edu/crafts/metalsdirectorypage/biographies/b11.html,http://www.temple.edu/crafts/metalsdirectorypage/p11.html,,yes,no,,"Professor Emeritus, Metal/Jewelry program, State University of New York at New Paltz (retired from teaching ~2014–2015 after ~30 years)",retired-emeritus,https://en.wikipedia.org/wiki/Jamie_Bennett_(artist),"Jamie Bennett (b. 1948), the enamelist/jeweler, is alive and is now Professor Emeritus at SUNY New Paltz after retiring from teaching around 2014–2015; he received the SNAG Lifetime Achievement Award in 2022.",high,not-needed,https://en.wikipedia.org/wiki/Jamie_Bennett_(artist) | https://snagmetalsmith.org/2022/04/2022-laa-jamie-bennett/ | https://www.enamelarts.org/jamie-bennett/ | https://americanart.si.edu/artist/jamie-bennett-346 | https://sites.newpaltz.edu/news/2008/09/jamie-bennett-contemplative-jeweler/,2026-05-29
16,crafts/metalsdirectorypage/p110.html,THOMAS S. MADDEN,person,,1958,"Wichita, Kansas",Center for Creative Studies,http://www.temple.edu/crafts/metalsdirectorypage/s25.html,,1992,,http://www.temple.edu/crafts/metalsdirectorypage/p110.html,,unknown,no,,"Professor and Section Head of Metalsmithing & Jewelry / Crafts Department Chairman, College for Creative Studies, Detroit MI (listed tenure 1992-2014; no longer active faculty)",retired-emeritus,https://www.ccsdetroit.edu/person/thomas-madden/,"Identity strongly confirmed: the metalsmith Thomas Madden taught at the (renamed) College for Creative Studies in Detroit from 1992, with education matching exactly (BFA Kansas State, MFA Bowling Green State). The school's own faculty page lists his tenure as 1992-2014, indicating he has retired or left active teaching; no obituary was found, so his alive status is unknown.",high,not-needed,https://www.ccsdetroit.edu/person/thomas-madden/ | https://www.collegeforcreativestudies.edu/Faculty/2500/Madden | https://www.toledoblade.com/a-e/art/2007/10/10/Heavy-metal-Bedford-metalsmith-Tom-Madden-s-artwork-is-drawing-national-attention/stories/200710100039,2026-05-29
17,crafts/metalsdirectorypage/p111.html,JAMES MALENDA,person,I Station,1946,"Kingston, Pennsylvania",Kutztown University,http://www.temple.edu/crafts/metalsdirectorypage/s91.html,,1987,,http://www.temple.edu/crafts/metalsdirectorypage/p111.html,,yes,no,,"Professor Emeritus of Fine Metals (metalsmithing/enameling), Kutztown University, Pennsylvania; continues teaching workshops (Haystack, Arrowmont, Penland) and internationally (East Carolina University program in Certaldo, Italy)",retired-emeritus,https://www.enamelarts.org/james-malenda/,"James Malenda (b. 1946, Kingston PA) is alive and an internationally recognized metalsmith/enamelist. He taught at Kutztown University from 1987 and is now Professor Emeritus there; he received Kent State University's 2025 Professional Achievement Award and remains active teaching workshops and maintaining a studio.",high,not-needed,https://www.enamelarts.org/james-malenda/ | https://www.kent.edu/alumni-and-giving/james-malenda-71-2025-professional-achievement-award-recipient | https://www.kutztown.edu/news-and-media/ku-media/daily-brief/may-2022/may-12-2022.html | http://malendamonumetal.com/about.html,2026-05-29
18,crafts/metalsdirectorypage/p112.html,THOMAS R. MARKUSEN,person,The White House Collection,1940,"Chicago, Illinois",State University of New York - Brockport,http://www.temple.edu/crafts/metalsdirectorypage/s186.html,,1968,,http://www.temple.edu/crafts/metalsdirectorypage/p112.html,,yes,no,,"Professor Emeritus of Sculpture and Metal/Jewelry, SUNY Brockport (taught 1968-1998); proprietor/artist at Markusen Metal Studios, Ltd., Kendall, NY",retired-emeritus,http://www.markusenmetal.com/Studio/thomas_roy_markusen.htm,"Confirmed as the metalsmith: born 1940 (Chicago), BS/MS from University of Wisconsin-Madison, taught at SUNY Brockport 1968-1998. He retired in 1998 and is Professor Emeritus; he now runs Markusen Metal Studios in Kendall, NY. No obituary found and he appears in current donor/residence records, so likely living; no name change.",medium,not-needed,https://brockport.academicworks.com/donors/thomas-r-and-mary-p-markusen | http://www.markusenmetal.com/Studio/thomas_roy_markusen.htm | http://www.markusenmetal.com/ | https://www.ganoksin.com/article/tom-markusen-holloware-maker-integrity/ | https://www.askart.com/artist/Thomas_Roy_Markusen/112113/Thomas_Roy_Markusen.aspx,2026-05-29
19,crafts/metalsdirectorypage/p113.html,JOHN MARSHALL,person,,1936,"Pittsburgh, Pennsylvania",University of Washington,http://www.temple.edu/crafts/metalsdirectorypage/s242.html,,1975,http://www.temple.edu/crafts/metalsdirectorypage/biographies/b113.html,http://www.temple.edu/crafts/metalsdirectorypage/p113.html,,unknown,no,,"Professor Emeritus, School of Art, University of Washington (retired 2001 as head of the metal arts program); subsequently a studio metalsmith/painter based in the Seattle/Edmonds, WA area",retired-emeritus,https://www.johnmarshallmetalsmith.com/,"John Marshall (b. 1936, Pittsburgh), the silversmith/metalsmith, taught at the University of Washington from 1970 and retired in 2001, becoming Professor Emeritus; he is not currently teaching there. No name change and no obituary was found; alive status could not be confirmed.",high,not-needed,https://www.johnmarshallmetalsmith.com/ | https://www.johnmarshallmetalsmith.com/timeline | https://www.aaa.si.edu/collections/john-marshall-papers-11575 | https://www.silversmithing.com/1hans27.htm | https://www.ganoksin.com/article/conversation-john-marshall/ | https://bainbridgebarn.org/jewelry/the-tools-of-a-master-find-a-new-home-at-barn/,2026-05-29
20,crafts/metalsdirectorypage/p114.html,KURT MATZDORF,person,,1922,"Stadtoldendorf, Germany",,,,,http://www.temple.edu/crafts/metalsdirectorypage/biographies/b114.html,http://www.temple.edu/crafts/metalsdirectorypage/p114.html,,no,no,,"Professor Emeritus, Metals Program (founder), State University of New York at New Paltz; taught 1957–1985",retired-emeritus,https://en.wikipedia.org/wiki/Kurt_Matzdorf,"Kurt J. Matzdorf (1922–2008) was a German-born American silversmith/goldsmith and educator who founded the metals program at SUNY New Paltz, teaching there 1957–1985, and won SNAG's 2006 Lifetime Achievement Award. He died December 20, 2008.",high,not-needed,https://en.wikipedia.org/wiki/Kurt_Matzdorf | https://sites.newpaltz.edu/news/2006/06/professor-emeritus-recognized-for-contribution-to-metalsmith-community/ | https://www.findagrave.com/memorial/228996715/kurt-j.-matzdorf | https://www.legacy.com/us/obituaries/nytimes/name/kurt-matzdorf-obituary?id=28875445 | https://www.jmberlin.de/en/topic-kurt-j-matzdorf,2026-05-29
21,crafts/metalsdirectorypage/p115.html,RICHARD MAWDSLEY,person,Water Tower #2,1945,"Winfield, Kansas",Southern Illinois University - Carbondale,http://www.temple.edu/crafts/metalsdirectorypage/s175.html,,1978,http://www.temple.edu/crafts/metalsdirectorypage/biographies/b115.html,http://www.temple.edu/crafts/metalsdirectorypage/p115.html,,yes,no,,"Professor Emeritus of Metalsmithing/Jewelry, Southern Illinois University Carbondale (retired 2004); continues to work as an independent metal artist",retired-emeritus,https://en.wikipedia.org/wiki/Richard_Mawdsley,"Richard Mawdsley (b. 1945), the metalsmith/jeweler, retired from Southern Illinois University Carbondale in 2004 as Professor Emeritus and remains living and artistically active. He is not in the archived teaching job anymore (retired 20+ years ago), and his name is unchanged.",high,not-needed,https://en.wikipedia.org/wiki/Richard_Mawdsley | https://americanart.si.edu/artist/richard-mawdsley-3182 | https://www.metalmuseum.org/post/2017/12/29/inside-the-collection-richard-mawdsley | https://www.craftinamerica.org/artist/richard-mawdsley/ | https://richardmawdsley.tumblr.com/bio | https://news.siu.edu/2013/05/050813amh13037.php,2026-05-29
22,crafts/metalsdirectorypage/p116.html,TOM McCARTHY,person,,1960,"Cheyenne, Wyoming",Florida Gulf Coast Art Center,http://www.temple.edu/crafts/metalsdirectorypage/s65.html,,1990,,http://www.temple.edu/crafts/metalsdirectorypage/p116.html,,yes,no,,"Studio jeweler/metalsmith and teaching artist; teaches metals/jewelry at Craft Alliance, St. Louis, MO (since 2014). Maintains own studio practice (tommccarthyjewelry.com).",no,https://tommccarthyjewelry.com/,"Tom McCarthy (BA History, Grinnell 1983; MFA Metals, SIU Carbondale 1990) left the Florida Gulf Coast Art Center long ago (artist-in-residence there 1990-92, on staff through ~1998). He is now a St. Louis-based studio jeweler/metalsmith known for concrete-and-metal work, teaching at Craft Alliance since 2014; his site shows activity through 2021. No name change and no obituary found.</summary>
<parameter name=""notes"">Identity confirmed via his own site's resume matching the archived record exactly: Grinnell College (BA), Southern Illinois University-Carbondale (MFA, 1990, studied under Brent Kington and Richard Mawdsley), and Florida Gulf Coast Art Center, Belleair FL. NOT the same as the USNA History professor Tom McCarthy or other same-named people. Archived ""since 1990"" matches his 1990-92 FGC Art Center residency; he subsequently moved through Penland, John C. Campbell Folk School, Eckerd College, Morean Arts Center, Arrowmont, Idyllwild Arts, and now Craft Alliance St. Louis. Birth year 1960 not directly confirmed but consistent with a 1983 BA; no death record found. Confidence high on identity/role; 'alive=yes' inferred from absence of any obituary plus an actively maintained site/store (copyright 2021, live online shop and social links).",high,confirmed,https://tommccarthyjewelry.com/about/resume | https://tommccarthyjewelry.com/ | https://tommccarthyjewelry.com/teaching-events | https://www.craftalliance.org/,2026-05-29
23,crafts/metalsdirectorypage/p117.html,ROD McCORMICK,person,Nantes,1952,"Battle Creek, Michigan",The Philadelphia College of Art and Design,http://www.temple.edu/crafts/metalsdirectorypage/s208.html,,1981,,http://www.temple.edu/crafts/metalsdirectorypage/p117.html,,yes,no,,"Professor of Jewelry/Metals (Craft + Material Studies), University of the Arts, Philadelphia — the successor institution to the archived ""Philadelphia College of Art."" Last-known role; the UArts Jewelry/Metals program ended around 2021 and the University of the Arts closed June 2024. Now exhibits/works as an independent studio jeweler (3D-printed jewelry), represented by Gravers Lane Gallery, Philadelphia.",no,http://rod-mccormick.com/,"Rod McCormick is the same metalsmith/sculptor/jeweler — Tyler BFA + RISD MFA — who taught at Philadelphia College of Art (which became the University of the Arts in 1987) as professor of jewelry/metals from 1986. The program ended ~2021 and UArts closed in 2024; he continues as an independent studio jeweler making 3D-printed work, shown at Gravers Lane Gallery. No obituary found; appears alive. Name unchanged.",high,confirmed,http://rod-mccormick.com/?page_id=157 | https://www.uarts.edu/staff-directory/rmccormick | https://www.graverslanegallery.com/rod-mccormick | https://en.wikipedia.org/wiki/University_of_the_Arts_(Philadelphia),2026-05-29
24,crafts/metalsdirectorypage/p118.html,TIM McCREIGHT,person,Fibula,1951,"Philadelphia, Pennsylvania",Maine College of Art since ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/s96.html,,,,http://www.temple.edu/crafts/metalsdirectorypage/p118.html,,yes,no,,"Retired from Maine College of Art (taught full-time there 1988–2005); now an independent metalsmith, author, and founder/publisher of Brynmorgen Press; president of the Harpswell Heritage Land Trust board, living in Harpswell, Maine.",retired-emeritus,https://en.wikipedia.org/wiki/Tim_McCreight,"Tim McCreight, the metalsmith/jeweler and author of ""The Complete Metalsmith,"" is alive and active in Harpswell, Maine as of December 2025. He retired from full-time teaching at Maine College of Art (where he taught 1988–2005); no name change.",high,not-needed,https://en.wikipedia.org/wiki/Tim_McCreight | https://harpswellanchor.org/2025/12/new-book-chronicles-pioneering-work-of-great-island-metalsmith-and-author/ | https://mainecrafts.org/2021-maine-craft-artist-award-tm/ | https://www.covestreetarts.com/exhibition-artist-bios/tim-mccreight,2026-05-29
25,crafts/metalsdirectorypage/p119.html,VITRICE McMURRY,person,,1947,"Jackson, Mississippi",Metairie Park County Day School,http://www.temple.edu/crafts/metalsdirectorypage/s102.html,,1983,,http://www.temple.edu/crafts/metalsdirectorypage/p119.html,,yes,no,,"Independent studio jeweler/metalsmith, ""Vitrice Jewelry,"" New Orleans; former longtime metals teacher at Metairie Park Country Day School",unknown,https://vitrice.indiemade.com/,"Vitrice McMurry is alive and an active New Orleans studio jeweler/metalsmith selling under ""Vitrice Jewelry"" (JazzFest, Symmetry Jewelers, Ogden Museum, etc.) as of 2024-2025. She taught metals at Metairie Park Country Day School for many years; her own bio now describes that teaching in the past tense, so her current status there is uncertain.",high,not-needed,https://vitrice.indiemade.com/ | https://vitrice.indiemade.com/content/bio | https://www.myneworleans.com/vitrice-mcmurry-2014-new-orleans-top-female-achievers/ | https://www.nojazzfest.com/craft-vendors/vitrice-mcmurry/ | https://symmetryjewelers.com/collections/vitrice-mcmurry,2026-05-29
26,crafts/metalsdirectorypage/p12.html,BERNARD BERNSTEIN,person,Memorial Lamp,1928,New York,92nd. Street Y. N.Y.,,,1987,http://www.temple.edu/crafts/metalsdirectorypage/biographies/b12.html,http://www.temple.edu/crafts/metalsdirectorypage/p12.html,,no,no,,Metalsmith/Judaica silversmith and teacher; taught silversmithing/Judaica at the 92nd Street Y (NYC) and previously industrial arts at City College of New York. Deceased 2021.,no,https://en.wikipedia.org/wiki/Bernard_Bernstein_(metalsmith),"Bernard ""Bernie"" Bernstein (1928–2021) was an American metalsmith known for Judaica silver; he taught at City College of New York and later silversmithing/Judaica at the 92nd Street Y. He died July 28, 2021, so the archived ""currently teaching at 92nd Street Y"" record is now historical.",high,not-needed,https://en.wikipedia.org/wiki/Bernard_Bernstein_(metalsmith) | https://www.wikidata.org/wiki/Q106629596 | https://archives.cjh.org/repositories/6/resources/56 | https://craftcouncil.org/recognition/bernard-bernstein | https://www.92ny.org/instructor/bernard-bernstein | https://www.cbsnews.com/newyork/news/hanukkah-celebrations-highlight-silversmith-bernard-bernsteins-craft/,2026-05-29
27,crafts/metalsdirectorypage/p120.html,BRIAN MEEK,person,Emerald Lies,1970,Ohio,,,,,,http://www.temple.edu/crafts/metalsdirectorypage/p120.html,,yes,no,,"Owner/designer, Knew Concepts (precision jeweler's/metalsmith saw manufacturer, Santa Cruz/Bay Area, CA); also teaches metalsmithing workshops (e.g., Metalwerx). Formerly taught 12 years at Santa Barbara City College Adult-Ed jewelry program.",no,https://knewconcepts.com/about-knew-concepts.php,"Brian Meek (b. 1970), the metalsmith/jeweler with a Syracuse BFA, a year at City of London Polytechnic, and a Cranbrook MFA, is alive and active as the owner and tool designer of Knew Concepts, which he purchased after partner Lee Marshall died in June 2017. He still teaches metalsmithing workshops but holds no academic faculty post.",high,confirmed,https://knewconcepts.com/about-knew-concepts.php | https://www.knewconcepts.com/Changing-of-the-guard.php | https://www.metalartsguildsf.org/member-of-the-month-archive/featuredmember2019/ | https://metalwerx.org/instructors/22389 | https://www.linkedin.com/in/brian-meek-86a0b017/ | https://orchid.ganoksin.com/t/introducing-brian-meek/26770,2026-05-29
